Study,analysis_id,Analysis.name,clinical_window,pet_week,amyloid_change_cl,amyloid_source,mapping_note,pairing_status,instrument_status,source_locator,source_review_status
CLARITY AD 2023,1.1,ADAS-Cog scale at 18 months,18 months,78,-59.12,Imbimbo 2024 Table 1,Lecanemab 10 mg/kg every 2 weeks,Time-compatible; dose and population require source verification,Exact ADAS-Cog version requires trial-level verification; MD provisional,CD016297-data-rows.csv | CLARITY AD 2023 | 1.1,Single-reviewer audit; independent extraction verification pending
EXPEDITION - EXPEDITION 2 2016,1.1,ADAS-Cog scale at 18 months,18 months,NA,NA,Not available,No plaque PET reduction estimate; soluble-Aβ target,Unknown / quarantined,Exact ADAS-Cog version requires trial-level verification; MD provisional,CD016297-data-rows.csv | EXPEDITION - EXPEDITION 2 2016 | 1.1,Single-reviewer audit; independent extraction verification pending
EXPEDITION 3 2018,1.1,ADAS-Cog scale at 18 months,18 months,NA,NA,Not available,No plaque PET reduction estimate; soluble-Aβ target,Unknown / quarantined,Exact ADAS-Cog version requires trial-level verification; MD provisional,CD016297-data-rows.csv | EXPEDITION 3 2018 | 1.1,Single-reviewer audit; independent extraction verification pending
Marguerite RoAD 2024,1.2,ADAS-Cog scale at 24 months,24 months,NA,NA,Neve 2024 doi:10.3233/JAD-240221,Prior -59.65 CL mapping quarantined: high-dose extension PET cannot establish placebo-adjusted removal during the low-dose randomized phase; compatible PET estimate unknown,Unknown / quarantined,Exact ADAS-Cog version requires trial-level verification; MD provisional,CD016297-data-rows.csv | Marguerite RoAD 2024 | 1.2,Single-reviewer audit; independent extraction verification pending
CREAD 2022,1.2,ADAS-Cog scale at 24 months,24 months,105,-1.99,Imbimbo 2024 Table 1,"Crenezumab 60 mg/kg, 105 weeks",Time-compatible; dose and population require source verification,Exact ADAS-Cog version requires trial-level verification; MD provisional,CD016297-data-rows.csv | CREAD 2022 | 1.2,Single-reviewer audit; independent extraction verification pending
GRADUATE I 2023,1.3,ADAS-Cog scale above 24 months,>24 months,116,-66.44,Bateman 2023 NEJM,"Adjusted active-placebo Centiloid difference, week 116",Time-compatible; dose and population require source verification,Exact ADAS-Cog version requires trial-level verification; MD provisional,CD016297-data-rows.csv | GRADUATE I 2023 | 1.3,Single-reviewer audit; independent extraction verification pending
GRADUATE II 2023,1.3,ADAS-Cog scale above 24 months,>24 months,116,-56.46,Bateman 2023 NEJM,"Adjusted active-placebo Centiloid difference, week 116",Time-compatible; dose and population require source verification,Exact ADAS-Cog version requires trial-level verification; MD provisional,CD016297-data-rows.csv | GRADUATE II 2023 | 1.3,Single-reviewer audit; independent extraction verification pending
EMERGE 2022,1.4,MMSE scale at 18 months,18 months,78,-48.74,Imbimbo 2024 Table 1,"High-dose aducanumab, 78 weeks",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EMERGE 2022 | 1.4,Single-reviewer audit; independent extraction verification pending
ENGAGE 2022,1.4,MMSE scale at 18 months,18 months,78,-42.24,Imbimbo 2024 Table 1,"High-dose aducanumab, 78 weeks",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | ENGAGE 2022 | 1.4,Single-reviewer audit; independent extraction verification pending
ENVISION,1.4,MMSE scale at 18 months,18 months,NA,NA,Not available,No matched trial-level Centiloid estimate,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | ENVISION | 1.4,Single-reviewer audit; independent extraction verification pending
CREAD 2 2022,1.4,MMSE scale at 18 months,18 months,53,-3.79,Imbimbo 2024 Table 1,"Crenezumab 60 mg/kg, 53 weeks",Time mismatch,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2 2022 | 1.4,Single-reviewer audit; independent extraction verification pending
TRAILBLAZER-ALZ 2 2023,1.4,MMSE scale at 18 months,18 months,76,-86.33,Imbimbo 2024 Table 1,"Donanemab, 76 weeks",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | TRAILBLAZER-ALZ 2 2023 | 1.4,Single-reviewer audit; independent extraction verification pending
EXPEDITION - EXPEDITION 2 2016,1.4,MMSE scale at 18 months,18 months,NA,NA,Not available,No plaque PET reduction estimate; soluble-Aβ target,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EXPEDITION - EXPEDITION 2 2016 | 1.4,Single-reviewer audit; independent extraction verification pending
EXPEDITION 3 2018,1.4,MMSE scale at 18 months,18 months,NA,NA,Not available,No plaque PET reduction estimate; soluble-Aβ target,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EXPEDITION 3 2018 | 1.4,Single-reviewer audit; independent extraction verification pending
SCarlet RoAD 2017,1.4,MMSE scale at 18 months,18 months,104,-12.64,Imbimbo 2024 Table 1,Gantenerumab 225 mg every 4 weeks,Time mismatch,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | SCarlet RoAD 2017 | 1.4,Single-reviewer audit; independent extraction verification pending
Marguerite RoAD 2024,1.5,MMSE scale at 24 months,24 months,NA,NA,Neve 2024 doi:10.3233/JAD-240221,Prior -59.65 CL mapping quarantined: high-dose extension PET cannot establish placebo-adjusted removal during the low-dose randomized phase; compatible PET estimate unknown,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | Marguerite RoAD 2024 | 1.5,Single-reviewer audit; independent extraction verification pending
CREAD 2022,1.5,MMSE scale at 24 months,24 months,105,-1.99,Imbimbo 2024 Table 1,"Crenezumab 60 mg/kg, 105 weeks",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2022 | 1.5,Single-reviewer audit; independent extraction verification pending
CREAD 2022,1.6,ADAS-Cog 24 months mean difference,24 months,105,-1.99,Imbimbo 2024 Table 1,"Crenezumab 60 mg/kg, 105 weeks",Time-compatible; dose and population require source verification,Exact ADAS-Cog version requires trial-level verification; MD provisional,CD016297-data-rows.csv | CREAD 2022 | 1.6,Single-reviewer audit; independent extraction verification pending
Marguerite RoAD 2024,1.6,ADAS-Cog 24 months mean difference,24 months,NA,NA,Neve 2024 doi:10.3233/JAD-240221,Prior -59.65 CL mapping quarantined: high-dose extension PET cannot establish placebo-adjusted removal during the low-dose randomized phase; compatible PET estimate unknown,Unknown / quarantined,Exact ADAS-Cog version requires trial-level verification; MD provisional,CD016297-data-rows.csv | Marguerite RoAD 2024 | 1.6,Single-reviewer audit; independent extraction verification pending
EMERGE 2022,2.1,CDR-SB scale at 18 months,18 months,78,-48.74,Imbimbo 2024 Table 1,"High-dose aducanumab, 78 weeks",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EMERGE 2022 | 2.1,Single-reviewer audit; independent extraction verification pending
ENGAGE 2022,2.1,CDR-SB scale at 18 months,18 months,78,-42.24,Imbimbo 2024 Table 1,"High-dose aducanumab, 78 weeks",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | ENGAGE 2022 | 2.1,Single-reviewer audit; independent extraction verification pending
ENVISION,2.1,CDR-SB scale at 18 months,18 months,NA,NA,Not available,No matched trial-level Centiloid estimate,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | ENVISION | 2.1,Single-reviewer audit; independent extraction verification pending
CREAD 2 2022,2.1,CDR-SB scale at 18 months,18 months,53,-3.79,Imbimbo 2024 Table 1,"Crenezumab 60 mg/kg, 53 weeks",Time mismatch,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2 2022 | 2.1,Single-reviewer audit; independent extraction verification pending
TRAILBLAZER-ALZ 2 2023,2.1,CDR-SB scale at 18 months,18 months,76,-86.33,Imbimbo 2024 Table 1,"Donanemab, 76 weeks",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | TRAILBLAZER-ALZ 2 2023 | 2.1,Single-reviewer audit; independent extraction verification pending
EXPEDITION - EXPEDITION 2 2016,2.1,CDR-SB scale at 18 months,18 months,NA,NA,Not available,No plaque PET reduction estimate; soluble-Aβ target,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EXPEDITION - EXPEDITION 2 2016 | 2.1,Single-reviewer audit; independent extraction verification pending
EXPEDITION 3 2018,2.1,CDR-SB scale at 18 months,18 months,NA,NA,Not available,No plaque PET reduction estimate; soluble-Aβ target,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EXPEDITION 3 2018 | 2.1,Single-reviewer audit; independent extraction verification pending
CLARITY AD 2023,2.1,CDR-SB scale at 18 months,18 months,78,-59.12,Imbimbo 2024 Table 1,Lecanemab 10 mg/kg every 2 weeks,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CLARITY AD 2023 | 2.1,Single-reviewer audit; independent extraction verification pending
SCarlet RoAD 2017,2.1,CDR-SB scale at 18 months,18 months,104,-12.64,Imbimbo 2024 Table 1,Gantenerumab 225 mg every 4 weeks,Time mismatch,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | SCarlet RoAD 2017 | 2.1,Single-reviewer audit; independent extraction verification pending
Marguerite RoAD 2024,2.2,CDR-SB scale at 24 months,24 months,NA,NA,Neve 2024 doi:10.3233/JAD-240221,Prior -59.65 CL mapping quarantined: high-dose extension PET cannot establish placebo-adjusted removal during the low-dose randomized phase; compatible PET estimate unknown,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | Marguerite RoAD 2024 | 2.2,Single-reviewer audit; independent extraction verification pending
CREAD 2022,2.2,CDR-SB scale at 24 months,24 months,105,-1.99,Imbimbo 2024 Table 1,"Crenezumab 60 mg/kg, 105 weeks",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2022 | 2.2,Single-reviewer audit; independent extraction verification pending
GRADUATE I 2023,2.3,CDR-SB scale above 24 months,>24 months,116,-66.44,Bateman 2023 NEJM,"Adjusted active-placebo Centiloid difference, week 116",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | GRADUATE I 2023 | 2.3,Single-reviewer audit; independent extraction verification pending
GRADUATE II 2023,2.3,CDR-SB scale above 24 months,>24 months,116,-56.46,Bateman 2023 NEJM,"Adjusted active-placebo Centiloid difference, week 116",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | GRADUATE II 2023 | 2.3,Single-reviewer audit; independent extraction verification pending
CREAD 2022,2.4,CDR-SB 24 months mean difference,24 months,105,-1.99,Imbimbo 2024 Table 1,"Crenezumab 60 mg/kg, 105 weeks",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2022 | 2.4,Single-reviewer audit; independent extraction verification pending
Marguerite RoAD 2024,2.4,CDR-SB 24 months mean difference,24 months,NA,NA,Neve 2024 doi:10.3233/JAD-240221,Prior -59.65 CL mapping quarantined: high-dose extension PET cannot establish placebo-adjusted removal during the low-dose randomized phase; compatible PET estimate unknown,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | Marguerite RoAD 2024 | 2.4,Single-reviewer audit; independent extraction verification pending
3000 Non Carriers 2016,3.1,DAD total score at 18 months,18 months,NA,6.52,Imbimbo 2024 Table 1,Highest-dose bapineuzumab arm,PET time requires verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | 3000 Non Carriers 2016 | 3.1,Single-reviewer audit; independent extraction verification pending
3001 Carriers 2016,3.1,DAD total score at 18 months,18 months,NA,-9.6,Imbimbo 2024 Table 1,Bapineuzumab 0.5 mg/kg arm,PET time requires verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | 3001 Carriers 2016 | 3.1,Single-reviewer audit; independent extraction verification pending
Bapineuzumab-301 2014,3.1,DAD total score at 18 months,18 months,NA,NA,Not available,No unambiguous matched trial-level estimate,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | Bapineuzumab-301 2014 | 3.1,Single-reviewer audit; independent extraction verification pending
Bapineuzumab-302 2014,3.1,DAD total score at 18 months,18 months,NA,NA,Not available,No unambiguous matched trial-level estimate,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | Bapineuzumab-302 2014 | 3.1,Single-reviewer audit; independent extraction verification pending
CREAD 2 2022,3.2,ADCS-ADL score at 18 months,18 months,53,-3.79,Imbimbo 2024 Table 1,"Crenezumab 60 mg/kg, 53 weeks",Time mismatch,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2 2022 | 3.2,Single-reviewer audit; independent extraction verification pending
EXPEDITION - EXPEDITION 2 2016,3.2,ADCS-ADL score at 18 months,18 months,NA,NA,Not available,No plaque PET reduction estimate; soluble-Aβ target,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EXPEDITION - EXPEDITION 2 2016 | 3.2,Single-reviewer audit; independent extraction verification pending
EXPEDITION 3 2018,3.2,ADCS-ADL score at 18 months,18 months,NA,NA,Not available,No plaque PET reduction estimate; soluble-Aβ target,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EXPEDITION 3 2018 | 3.2,Single-reviewer audit; independent extraction verification pending
Marguerite RoAD 2024,3.3,ADCS-ADL score at 24 months,24 months,NA,NA,Neve 2024 doi:10.3233/JAD-240221,Prior -59.65 CL mapping quarantined: high-dose extension PET cannot establish placebo-adjusted removal during the low-dose randomized phase; compatible PET estimate unknown,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | Marguerite RoAD 2024 | 3.3,Single-reviewer audit; independent extraction verification pending
CREAD 2022,3.3,ADCS-ADL score at 24 months,24 months,105,-1.99,Imbimbo 2024 Table 1,"Crenezumab 60 mg/kg, 105 weeks",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2022 | 3.3,Single-reviewer audit; independent extraction verification pending
GRADUATE I 2023,3.4,ADCS-ADL score above 24 months,>24 months,116,-66.44,Bateman 2023 NEJM,"Adjusted active-placebo Centiloid difference, week 116",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | GRADUATE I 2023 | 3.4,Single-reviewer audit; independent extraction verification pending
GRADUATE II 2023,3.4,ADCS-ADL score above 24 months,>24 months,116,-56.46,Bateman 2023 NEJM,"Adjusted active-placebo Centiloid difference, week 116",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | GRADUATE II 2023 | 3.4,Single-reviewer audit; independent extraction verification pending
EMERGE 2022,3.5,ADCS-ADL-MCI score at 18 months,18 months,78,-48.74,Imbimbo 2024 Table 1,"High-dose aducanumab, 78 weeks",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EMERGE 2022 | 3.5,Single-reviewer audit; independent extraction verification pending
ENGAGE 2022,3.5,ADCS-ADL-MCI score at 18 months,18 months,78,-42.24,Imbimbo 2024 Table 1,"High-dose aducanumab, 78 weeks",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | ENGAGE 2022 | 3.5,Single-reviewer audit; independent extraction verification pending
ENVISION,3.5,ADCS-ADL-MCI score at 18 months,18 months,NA,NA,Not available,No matched trial-level Centiloid estimate,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | ENVISION | 3.5,Single-reviewer audit; independent extraction verification pending
CLARITY AD 2023,3.5,ADCS-ADL-MCI score at 18 months,18 months,78,-59.12,Imbimbo 2024 Table 1,Lecanemab 10 mg/kg every 2 weeks,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CLARITY AD 2023 | 3.5,Single-reviewer audit; independent extraction verification pending
TRAILBLAZER-ALZ 2 2023,3.6,ADCS-iADL score at 18 months,18 months,76,-86.33,Imbimbo 2024 Table 1,"Donanemab, 76 weeks",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | TRAILBLAZER-ALZ 2 2023 | 3.6,Single-reviewer audit; independent extraction verification pending
CREAD 2022,3.7,ADCS-ADL 24 months mean difference,24 months,105,-1.99,Imbimbo 2024 Table 1,"Crenezumab 60 mg/kg, 105 weeks",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2022 | 3.7,Single-reviewer audit; independent extraction verification pending
Marguerite RoAD 2024,3.7,ADCS-ADL 24 months mean difference,24 months,NA,NA,Neve 2024 doi:10.3233/JAD-240221,Prior -59.65 CL mapping quarantined: high-dose extension PET cannot establish placebo-adjusted removal during the low-dose randomized phase; compatible PET estimate unknown,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | Marguerite RoAD 2024 | 3.7,Single-reviewer audit; independent extraction verification pending
CLARITY AD 2023,3.8,ADCS-ADL-MCI 18 months mean difference,18 months,78,-59.12,Imbimbo 2024 Table 1,Lecanemab 10 mg/kg every 2 weeks,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CLARITY AD 2023 | 3.8,Single-reviewer audit; independent extraction verification pending
EMERGE 2022,3.8,ADCS-ADL-MCI 18 months mean difference,18 months,78,-48.74,Imbimbo 2024 Table 1,"High-dose aducanumab, 78 weeks",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EMERGE 2022 | 3.8,Single-reviewer audit; independent extraction verification pending
ENGAGE 2022,3.8,ADCS-ADL-MCI 18 months mean difference,18 months,78,-42.24,Imbimbo 2024 Table 1,"High-dose aducanumab, 78 weeks",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | ENGAGE 2022 | 3.8,Single-reviewer audit; independent extraction verification pending
ENVISION,3.8,ADCS-ADL-MCI 18 months mean difference,18 months,NA,NA,Not available,No matched trial-level Centiloid estimate,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | ENVISION | 3.8,Single-reviewer audit; independent extraction verification pending
TRAILBLAZER-ALZ 2 2023,4.1,Any ARIA at 18 months,18 months,76,-86.33,Imbimbo 2024 Table 1,"Donanemab, 76 weeks",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | TRAILBLAZER-ALZ 2 2023 | 4.1,Single-reviewer audit; independent extraction verification pending
CLARITY AD 2023,4.1,Any ARIA at 18 months,18 months,78,-59.12,Imbimbo 2024 Table 1,Lecanemab 10 mg/kg every 2 weeks,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CLARITY AD 2023 | 4.1,Single-reviewer audit; independent extraction verification pending
EMERGE 2022,4.2,Any ARIA E at 18 months,18 months,78,-48.74,Imbimbo 2024 Table 1,"High-dose aducanumab, 78 weeks",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EMERGE 2022 | 4.2,Single-reviewer audit; independent extraction verification pending
ENGAGE 2022,4.2,Any ARIA E at 18 months,18 months,78,-42.24,Imbimbo 2024 Table 1,"High-dose aducanumab, 78 weeks",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | ENGAGE 2022 | 4.2,Single-reviewer audit; independent extraction verification pending
3000 Non Carriers 2016,4.2,Any ARIA E at 18 months,18 months,NA,6.52,Imbimbo 2024 Table 1,Highest-dose bapineuzumab arm,PET time requires verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | 3000 Non Carriers 2016 | 4.2,Single-reviewer audit; independent extraction verification pending
3001 Carriers 2016,4.2,Any ARIA E at 18 months,18 months,NA,-9.6,Imbimbo 2024 Table 1,Bapineuzumab 0.5 mg/kg arm,PET time requires verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | 3001 Carriers 2016 | 4.2,Single-reviewer audit; independent extraction verification pending
Bapineuzumab-301 2014,4.2,Any ARIA E at 18 months,18 months,NA,NA,Not available,No unambiguous matched trial-level estimate,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | Bapineuzumab-301 2014 | 4.2,Single-reviewer audit; independent extraction verification pending
Bapineuzumab-302 2014,4.2,Any ARIA E at 18 months,18 months,NA,NA,Not available,No unambiguous matched trial-level estimate,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | Bapineuzumab-302 2014 | 4.2,Single-reviewer audit; independent extraction verification pending
CREAD 2 2022,4.2,Any ARIA E at 18 months,18 months,53,-3.79,Imbimbo 2024 Table 1,"Crenezumab 60 mg/kg, 53 weeks",Time mismatch,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2 2022 | 4.2,Single-reviewer audit; independent extraction verification pending
TRAILBLAZER-ALZ 2 2023,4.2,Any ARIA E at 18 months,18 months,76,-86.33,Imbimbo 2024 Table 1,"Donanemab, 76 weeks",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | TRAILBLAZER-ALZ 2 2023 | 4.2,Single-reviewer audit; independent extraction verification pending
CLARITY AD 2023,4.2,Any ARIA E at 18 months,18 months,78,-59.12,Imbimbo 2024 Table 1,Lecanemab 10 mg/kg every 2 weeks,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CLARITY AD 2023 | 4.2,Single-reviewer audit; independent extraction verification pending
EXPEDITION - EXPEDITION 2 2016,4.2,Any ARIA E at 18 months,18 months,NA,NA,Not available,No plaque PET reduction estimate; soluble-Aβ target,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EXPEDITION - EXPEDITION 2 2016 | 4.2,Single-reviewer audit; independent extraction verification pending
EXPEDITION 3 2018,4.2,Any ARIA E at 18 months,18 months,NA,NA,Not available,No plaque PET reduction estimate; soluble-Aβ target,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | EXPEDITION 3 2018 | 4.2,Single-reviewer audit; independent extraction verification pending
ENVISION,4.3,Any ARIA E at 24 months,24 months,NA,NA,Not available,No matched trial-level Centiloid estimate,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | ENVISION | 4.3,Single-reviewer audit; independent extraction verification pending
CREAD 2022,4.3,Any ARIA E at 24 months,24 months,105,-1.99,Imbimbo 2024 Table 1,"Crenezumab 60 mg/kg, 105 weeks",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | CREAD 2022 | 4.3,Single-reviewer audit; independent extraction verification pending
Marguerite RoAD 2024,4.3,Any ARIA E at 24 months,24 months,NA,NA,Neve 2024 doi:10.3233/JAD-240221,Prior -59.65 CL mapping quarantined: high-dose extension PET cannot establish placebo-adjusted removal during the low-dose randomized phase; compatible PET estimate unknown,Unknown / quarantined,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | Marguerite RoAD 2024 | 4.3,Single-reviewer audit; independent extraction verification pending
SCarlet RoAD 2017,4.3,Any ARIA E at 24 months,24 months,104,-12.64,Imbimbo 2024 Table 1,Gantenerumab 225 mg every 4 weeks,Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | SCarlet RoAD 2017 | 4.3,Single-reviewer audit; independent extraction verification pending
GRADUATE I 2023,4.4,Any ARIA E above 24 months,>24 months,116,-66.44,Bateman 2023 NEJM,"Adjusted active-placebo Centiloid difference, week 116",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | GRADUATE I 2023 | 4.4,Single-reviewer audit; independent extraction verification pending
GRADUATE II 2023,4.4,Any ARIA E above 24 months,>24 months,116,-56.46,Bateman 2023 NEJM,"Adjusted active-placebo Centiloid difference, week 116",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | GRADUATE II 2023 | 4.4,Single-reviewer audit; independent extraction verification pending
TRAILBLAZER-ALZ 2 2023,4.5,Symptomatic ARIA E at 18 months,18 months,76,-86.33,Imbimbo 2024 Table 1,"Donanemab, 76 weeks",Time-compatible; dose and population require source verification,"Verify version, change score and analysis population in source",CD016297-data-rows.csv | TRAILBLAZER-ALZ 2 2023 | 4.5,Single-reviewer audit; independent extraction verification pending
